Tick,ALPHA,GAMMA,THETA,Price-ALPHA,Price-GAMMA,Price-THETA,Price-RITM,Latest-News
599,0.02717611417851097,0.012799332259454033,0.030468228404761367,159.07,69.0,19.5,4609.36,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
599,0.012954288935771191,0.051914762043742624,0.030468228404761367,158.5,68.6,19.5,4609.36,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
599,0.040265623147897785,-0.0031616529370985733,0.030468228404761367,158.8,68.8,19.5,4609.36,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
598,0.04017230433260731,0.0002167112166235989,0.026365466738977893,158.74,69.56,19.52,4610.99,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
598,0.02698110917430984,0.019455919696910504,0.03299027986418931,159.2,69.3,19.5,4610.99,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
598,0.012661658567670453,0.02188415521390992,0.009487380818286217,158.74,69.38,19.43,4610.99,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
598,0.034974258684973024,0.026882123740482298,0.03726164820991151,158.9,69.37,19.51,4610.99,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
597,0.039969184338673,0.030892146824925568,0.033330445934680215,157.3,68.9,19.65,4602.65,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
597,0.03406568045380995,0.027145406886090104,0.012417073838155398,157.26,68.85,19.67,4602.65,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
597,0.006375663397804144,0.05595411479232104,0.026676359913017887,157.0,68.71,19.58,4602.65,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
597,0.006375663397804144,0.03989455171230149,0.026676359913017887,157.0,68.91,19.58,4602.65,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
596,0.013058451020191007,0.04481970308474498,0.024739743058475847,158.64,69.3,19.55,4610.58,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
596,-0.010293388835790375,0.028109552693435614,0.012409169392447524,159.04,68.9,19.7,4610.58,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
596,0.04708320590785159,-0.002440229760491845,0.03283379309877738,158.74,69.1,19.5,4610.58,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
595,0.04063187941188656,0.011004431612044473,0.036557269229139315,158.81,68.83,19.62,4608.66,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
595,0.04063187941188656,-0.0017605981156784307,0.010656704238556015,158.81,68.75,19.57,4608.66,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
595,0.04063187941188656,0.036758813853027025,0.062185344509434484,158.81,68.72,19.61,4608.66,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
595,-0.004652359598746096,0.018397416557504542,0.028708622590327398,158.21,68.92,19.59,4608.66,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
594,-0.0029647349236582993,0.017639822912626866,0.028242098492666613,157.12,70.01,19.8,4607.03,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
594,0.04239844033633591,0.05690891895748511,0.026319916969396624,157.45,69.91,19.78,4607.03,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
594,0.05146046924618762,0.013062874571719637,0.027110319935436705,157.41,70.08,19.68,4607.03,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
594,0.05146046924618762,0.0392024555906209,0.007750087786309888,157.41,69.88,19.78,4607.03,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
593,0.05505619725978719,0.039546057009811106,0.006168578065190174,155.12,69.55,19.79,4600.95,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
593,0.026394052153132307,0.010425208625138571,0.018865799434930035,155.55,69.5,19.8,4600.95,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
593,0.04064923202429978,0.05946453991336002,0.01736167729419403,155.3,69.55,19.88,4600.95,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
593,0.04064923202429978,0.017319066756348832,0.027750822579186037,155.3,69.41,19.86,4600.95,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4579.84."
