Tick,ALPHA,GAMMA,THETA,Price-ALPHA,Price-GAMMA,Price-THETA,Price-RITM,Latest-News
599,0.006718193953928684,0.005268663808279752,0.0046304538636819555,143.33,68.54,20.18,4516.38,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
599,0.005742759595715002,0.006238328522421809,0.007677092802418349,143.55,68.34,20.08,4516.38,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
598,0.005692846431943456,0.006260718280408141,0.007891287442846734,143.86,68.0,19.91,4517.84,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
598,0.006177423684043164,0.007754987969505895,0.007891287442846734,143.52,67.71,19.91,4517.84,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
598,0.006177423684043164,0.007277473828218077,0.007891287442846734,143.52,67.67,19.91,4517.84,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
598,0.006360402440681377,0.00643605525148189,0.007995223985900479,143.9,67.6,19.99,4517.84,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
598,0.005673938360158946,0.005661649874382222,0.00318007573460974,143.82,67.8,20.01,4517.84,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
597,0.00584991906512514,0.005866707796615776,0.0045913344732977784,143.5,67.68,19.98,4512.56,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
597,0.006455888437936232,0.0063558814426646505,0.006381903845455362,143.68,67.92,20.05,4512.56,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
597,0.0061657811981758424,0.006209499371309224,0.006559767426309511,143.97,67.55,20.12,4512.56,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
597,0.0056499139621010745,0.004978482596099077,0.005197415861696019,143.75,67.69,20.15,4512.56,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
597,0.005792499863080858,0.005661795761264169,0.005411835066490972,143.67,67.72,20.08,4512.56,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
596,0.005255103630895225,0.006442694328131023,0.003663730167034095,144.23,68.92,20.05,4529.62,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
596,0.005404548302350222,0.005137695417644666,0.009091250941010431,143.88,68.95,20.09,4529.62,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
596,0.004730413988400867,0.0075113717599355895,0.0011595963449018126,144.22,68.88,20.03,4529.62,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
596,0.009077427473525714,0.010029710533684543,0.010977268419261749,143.88,69.03,20.1,4529.62,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
596,0.005106049272767714,0.006082912410731197,0.0068436015151548514,144.18,68.83,20.13,4529.62,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
595,0.005143808137715616,0.006019503105044735,0.007113560733000712,144.8,68.63,20.05,4531.29,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
595,0.004406796704156341,0.004593529261229483,0.004410440051436878,145.1,68.67,19.96,4531.29,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
595,0.006528592224988818,0.0047840122938794085,0.004410440051436878,145.03,68.71,19.96,4531.29,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
595,0.0054237527420551825,0.006579319894126449,0.0051222486396169855,144.93,68.63,20.07,4531.29,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
595,0.00798114333418604,0.007186808251919189,0.005359262015599917,144.8,68.83,20.06,4531.29,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
595,0.00541963249059553,0.006555603427044555,0.005043074457321519,144.8,68.83,20.06,4531.18,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
594,0.007974021880495152,0.007097916249015468,0.005496989034074615,145.02,69.51,19.88,4531.18,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
594,0.006615562106626295,0.0053706784929664405,0.007009635107913567,145.32,69.38,19.89,4531.18,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
594,0.006378505240543458,0.006249240769228014,0.00924748632344636,145.44,69.51,20.08,4531.18,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
594,0.006854702427851727,0.004274761121212398,0.006924129403848348,145.32,69.31,19.98,4531.18,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
593,0.006766865020405718,0.004894498139785516,0.007130580479176258,145.04,69.2,19.65,4526.47,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
593,0.005777356079575597,0.007652208351891703,0.004071916373466652,145.1,69.28,19.77,4526.47,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
593,0.005777356079575597,0.008211935903965187,0.0060897098068073184,145.1,69.38,19.81,4526.47,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
593,0.007305089017396648,0.006773480198994814,0.0070858221122486065,145.17,69.2,19.74,4526.47,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
593,0.004511123025108074,0.006850631637536484,0.005646508734028284,145.31,69.4,19.75,4526.47,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
592,0.004756193079645063,0.009518984548022223,0.00699508630591085,146.12,69.26,19.88,4534.57,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
592,0.009759041614643672,0.0046916901374925764,0.006524257127143383,145.99,69.34,19.83,4534.57,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
592,0.010582664237823464,0.006576490250463038,0.0049807792631016085,146.05,69.03,19.88,4534.57,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
592,0.003516303560034141,0.006367933432380561,0.008163440328418724,145.93,69.14,19.78,4534.57,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
591,0.0033920311680624747,0.006224567213130122,0.008745551411589482,147.09,68.75,19.74,4539.11,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
591,0.007914919151866099,0.0034473297771348897,0.008745551411589482,146.98,68.63,19.74,4539.11,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
591,0.0009374528341734396,0.006730429394509549,0.005846477507466604,146.93,68.66,19.94,4539.11,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
591,0.0065869961185559085,0.003769456687722235,0.004232178642945168,147.14,68.4,19.86,4539.11,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
591,0.0070669570625829375,0.01189705109004735,0.007940970916105208,146.84,68.55,19.84,4539.11,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
591,0.006673324062115562,0.004133689348307038,0.004657537098031121,146.84,68.55,19.84,4530.89,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
590,0.00734679455101478,0.0109201586794393,0.0073294280287079985,145.51,68.2,19.81,4530.89,"Your analysts informed that at tick 590,  the market price of RITM is forecasted to be $4531.56."
