Tick,ALPHA,GAMMA,THETA,Price-ALPHA,Price-GAMMA,Price-THETA,Price-RITM,Latest-News
600.0,0.01658508850433417,0.009399225665964664,0.00407603736489728,175.13,61.24,22.13,4304.72,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
599.0,0.007618640663477385,0.013235889971392993,0.013098069600771704,173.12,61.45,22.03,4304.72,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
599.0,0.007618640663477385,0.00834624256298781,0.015555682396274967,173.12,61.36,22.11,4304.72,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
599.0,0.009328864494659344,0.015557071568936046,0.012187466089490078,173.72,61.35,22.14,4304.72,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
599.0,0.015484434142697963,0.021832941680402687,0.012945948017810486,173.42,61.46,22.03,4304.72,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
598.0,0.015773341496868983,0.021936006992476678,0.013143091146844936,174.07,61.04,22.09,4307.27,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
598.0,0.009114625821736045,0.013617199501843733,0.011103256974076546,173.82,61.41,22.0,4307.27,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
598.0,0.009114625821736045,0.006571173380441198,0.013835291251460092,173.82,61.04,21.95,4307.27,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
598.0,0.015690735843808715,0.00595548606549836,0.012346685923264987,174.12,61.24,21.99,4307.27,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
597.0,0.013295842316812323,0.009174923007103838,0.011060678290264095,175.36,63.05,21.96,4315.94,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
597.0,0.013295842316812323,0.008108822289244108,0.013642232077762526,175.36,63.02,21.93,4315.94,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
597.0,0.008746744401842727,0.012631271962138858,0.010991304717907161,175.26,63.01,22.04,4315.94,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
597.0,0.014406454878563554,0.013010164502762475,0.012854147182472063,175.15,62.85,22.01,4315.94,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
596.0,0.014873731591090981,0.012999416182223665,0.013764116318510329,176.15,63.3,21.83,4318.21,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
596.0,0.016046801792842024,0.021296517843765874,0.01889377667810265,176.4,63.2,21.89,4318.21,"Your analysts informed that at tick 586,  the market price of RITM is forecasted to be $4313.14."
