Tick,ALPHA,GAMMA,THETA,Price-ALPHA,Price-GAMMA,Price-THETA,Price-RITM,Latest-News
600.0,0.0024947557081607345,0.016346335075039433,0.005402779911092175,133.31,62.78,26.43,4442.73,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
599.0,0.0024947557081607345,0.0009884005728313817,0.03909759670908531,133.31,62.99,26.57,4442.73,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
599.0,0.032486457212134764,0.023256460596477575,0.03909759670908531,132.98,62.89,26.57,4442.73,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
599.0,0.011851411560057097,0.009084284777511019,-0.0045918440077338755,133.25,63.17,26.62,4442.73,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
599.0,0.006087727631696006,-0.003045074284308863,0.03973905752030157,133.54,62.95,26.59,4442.73,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
599.0,0.023949595346610855,0.02944405655860429,0.03161007011242396,133.28,62.97,26.52,4442.73,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
598.0,0.02342281013929226,0.028009785280950085,0.03110113105250211,132.88,63.25,26.43,4438.81,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
598.0,0.014963732883997334,0.024030728054097405,0.0006112936461174986,132.29,63.0,26.41,4438.81,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
598.0,0.004290655772702864,0.01311966648768179,0.030380951976651305,132.28,63.22,26.43,4438.81,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
598.0,0.027440665495299464,0.026051954654791633,0.030380951976651305,132.36,62.85,26.43,4438.81,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
598.0,0.006195320914101668,0.017607884350460696,-0.008778443440806744,132.58,63.05,26.38,4438.81,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
597.0,0.01946251204475634,0.03301915983564098,0.012853124338726547,134.98,64.05,27.39,4454.67,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
597.0,-0.0038922546429208237,-0.01987481183277775,0.012853124338726547,134.52,64.45,27.39,4454.67,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
597.0,0.021901680039799774,0.00572803595734374,0.012853124338726547,134.6,64.36,27.39,4454.67,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
597.0,-0.004440714094716766,0.009523953358204567,0.012853124338726547,134.58,64.45,27.39,4454.67,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
597.0,-0.012928394679816968,-0.023191442047461534,-0.007489480182980202,134.7,64.25,27.49,4454.67,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
597.0,0.003683475281571795,0.01312908939054834,0.007852387163839233,132.21,64.25,27.49,4433.5,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
596.0,0.003683475281571795,-0.004126972181613788,-0.003631363850811845,132.21,62.57,26.37,4433.5,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
596.0,0.003683475281571795,0.023774903017711756,-0.0053509586758823165,132.21,62.64,26.35,4433.5,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
596.0,0.003683475281571795,-0.0010692191753754535,0.004817135235262446,132.21,62.8,26.44,4433.5,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
596.0,0.025223664196809048,0.011092758489970123,0.01259290335831992,131.91,62.6,26.34,4433.5,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
595.0,0.023967214827033165,0.010652604270936212,0.0004816276886772976,131.15,63.07,26.31,4430.02,"Your analysts informed that at tick 584,  the market price of RITM is forecasted to be $4425.84."
