ALPHA,GAMMA,THETA
-0.5255873453499124,6.641802224691376,6.615041262697342
-0.5397377918226087,6.743810628171198,6.551305921227515
-0.5746558760113073,6.737565796871901,6.563246499476526
-0.5750892537433899,6.788939429956577,6.568806295180882
-0.5958897880198021,6.896908527929043,6.583473571780908
-0.5851332935280358,6.687857375532167,6.517666339807711
-0.5557680028582541,6.502343473839025,6.491428317287919
-0.5592110565393639,6.528355050737148,6.487017139546467
-0.5119730446114209,6.586353698291808,6.532587227705413
-0.489675178532296,6.537403229073752,6.52726637203669
-0.49191819025292555,6.549037934047541,6.525743668333555
-0.5197088355671613,6.578608784351779,6.5863675337982
-0.49865440779672743,6.554902504107396,6.588615836992281
-0.505463088199919,6.511295994720513,6.617260918301806
-0.5042863085042691,6.5110492572636325,6.615938933273573
-0.5082836819943353,6.513277801409457,6.598867431594281
-0.4924536412942151,6.581882352758666,6.65062759492926
-0.4860311609091822,6.698669781045878,6.594719714460274
-0.4721649119029866,6.688523467752619,6.524748471021511
-0.45485339121407536,6.690935854264788,6.541330320722584
-0.4278563856201004,6.60961209831018,6.458767301894894
-0.40799219511352663,6.559347142250133,6.404621604461961
-0.44390692335377,6.5407347700150105,6.423606336197446
-0.35765883919759694,6.469804936053769,6.361577059716085
-0.34779435281303767,6.454044947733638,6.357948698047539
-0.30452688643049297,6.36091849068539,6.329754584463064
-0.3064965930330043,6.364567152249145,6.3239633905865
-0.33533948167299416,6.451490696627065,6.311328510716534
-0.34496736912335496,6.464571148949168,6.302131606559228
-0.3640457496844891,6.432620929989394,6.315033449757104
-0.3635417134429449,6.422691992490717,6.319645008954624
-0.36483305473296,6.441125393973951,6.20678544797476
-0.37211694235836756,6.443959294354899,6.208492995860934
-0.4083609543798291,6.359978631528703,6.176923590885349
-0.4076399254749268,6.385014202590433,6.153995466625549
-0.3982492911273803,6.4034598655150905,6.129211781776148
-0.44944713375800416,6.323445046759143,6.007627363126277
-0.39819405518745404,6.3414863072263294,5.900746505446468
-0.43136149598579654,6.37808771162704,5.85920933916923
-0.38181893275492423,6.3198834004025715,5.880875897039599
