tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision
585.0,176.2,65.51,21.68,GAMMA,THETA
585.0,175.77,65.61,21.81,GAMMA,THETA
585.0,176.12,65.77,21.81,GAMMA,THETA
585.0,175.77,65.59,21.81,GAMMA,THETA
584.0,176.88,65.7,21.72,GAMMA,THETA
584.0,176.84,65.88,21.91,GAMMA,THETA
584.0,176.74,65.81,21.82,GAMMA,THETA
583.0,176.97,66.06,21.93,GAMMA,THETA
583.0,176.64,65.7,21.74,GAMMA,THETA
583.0,177.11,65.92,21.94,GAMMA,THETA
583.0,176.99,65.9,21.84,GAMMA,THETA
583.0,176.81,65.9,21.84,GAMMA,THETA
582.0,176.05,65.27,21.68,ALPHA,THETA
582.0,176.26,65.12,21.68,ALPHA,THETA
582.0,176.35,65.5,21.88,THETA,THETA
581.0,178.05,66.52,21.77,THETA,GAMMA
581.0,177.58,66.25,21.89,THETA,GAMMA
581.0,177.88,66.45,21.93,THETA,GAMMA
580.0,179.43,67.29,21.92,ALPHA,THETA
580.0,179.62,67.49,21.84,GAMMA,THETA
580.0,179.3,67.11,21.91,GAMMA,THETA
580.0,179.6,67.29,21.82,GAMMA,THETA
579.0,183.38,70.46,21.76,GAMMA,THETA
579.0,183.18,70.25,21.65,GAMMA,THETA
579.0,183.38,70.06,21.68,GAMMA,THETA
579.0,182.81,70.46,21.68,GAMMA,THETA
578.0,182.55,68.72,21.74,GAMMA,THETA
578.0,182.65,68.74,21.86,GAMMA,THETA
578.0,182.08,68.71,21.84,GAMMA,THETA
578.0,182.35,68.64,21.84,GAMMA,ALPHA
577.0,182.03,69.08,21.9,GAMMA,ALPHA
577.0,181.43,69.3,21.8,GAMMA,THETA
576.0,183.02,70.63,21.7,GAMMA,THETA
576.0,183.38,70.45,21.68,ALPHA,THETA
535.0,177.44,62.99,22.26,THETA,THETA
535.0,177.74,63.19,22.16,THETA,GAMMA
534.0,177.27,61.51,22.14,ALPHA,GAMMA
534.0,177.5,61.41,22.12,ALPHA,THETA
534.0,177.59,61.46,22.15,ALPHA,THETA
534.0,177.29,61.47,22.21,ALPHA,THETA
533.0,177.46,62.31,22.23,ALPHA,THETA
533.0,177.75,62.28,22.03,ALPHA,THETA
533.0,177.8,62.05,22.17,ALPHA,THETA
533.0,177.5,62.25,22.13,ALPHA,THETA
532.0,175.45,60.25,21.83,ALPHA,THETA
532.0,175.31,60.21,21.83,ALPHA,THETA
532.0,175.32,60.39,21.83,ALPHA,THETA
532.0,175.44,60.19,21.93,ALPHA,THETA
531.0,176.53,61.13,21.97,ALPHA,THETA
531.0,176.58,60.95,22.03,ALPHA,THETA
531.0,176.97,61.13,22.06,GAMMA,THETA
531.0,176.67,60.93,21.96,GAMMA,THETA
531.0,177.68,60.93,21.96,GAMMA,THETA
530.0,177.43,62.71,22.06,GAMMA,THETA
530.0,177.47,63.11,22.04,GAMMA,THETA
530.0,177.59,63.11,22.01,GAMMA,THETA
530.0,177.38,62.91,21.97,GAMMA,THETA
529.0,177.08,63.46,22.01,GAMMA,THETA
529.0,176.78,63.43,22.0,GAMMA,THETA
528.0,177.12,64.41,22.02,GAMMA,THETA
528.0,177.32,64.13,22.01,THETA,ALPHA
528.0,176.95,64.13,22.01,THETA,ALPHA
528.0,177.14,64.33,21.93,THETA,GAMMA
527.0,175.24,63.29,22.22,THETA,GAMMA
527.0,175.46,63.37,22.2,THETA,GAMMA
527.0,175.21,63.33,22.03,THETA,GAMMA
527.0,175.46,63.29,22.11,THETA,GAMMA
527.0,175.39,63.49,22.12,ALPHA,GAMMA
526.0,175.4,64.07,22.11,ALPHA,THETA
526.0,175.46,64.07,22.01,ALPHA,THETA
476.0,176.47,70.06,22.47,GAMMA,THETA
476.0,176.07,69.77,22.47,GAMMA,THETA
476.0,176.56,70.06,22.47,GAMMA,THETA
476.0,176.26,70.06,22.47,GAMMA,THETA
475.0,176.2,70.5,22.43,GAMMA,THETA
475.0,176.25,70.51,22.53,THETA,GAMMA
475.0,176.24,70.55,22.53,THETA,GAMMA
475.0,176.27,70.35,22.53,THETA,GAMMA
474.0,176.04,70.24,22.4,THETA,GAMMA
474.0,175.61,70.3,22.4,THETA,GAMMA
474.0,176.14,70.15,22.4,THETA,ALPHA
474.0,175.84,70.15,22.6,THETA,ALPHA
473.0,174.81,69.35,22.54,THETA,ALPHA
473.0,174.56,69.43,22.58,THETA,THETA
473.0,174.69,69.23,22.6,ALPHA,THETA
472.0,172.07,67.63,22.74,ALPHA,THETA
472.0,172.1,67.63,22.57,ALPHA,THETA
472.0,172.51,67.42,22.57,ALPHA,THETA
472.0,172.21,67.43,22.67,ALPHA,THETA
471.0,171.04,66.74,22.84,ALPHA,THETA
