tick,ALPHA_Buy_price,GAMMA_Buy_price,THETA_Buy_price,Buy_decision,Sell_decision,positive_position,Negative_position,Position
587.0,150.03,55.59,25.79,ALPHA,THETA,True,False,False
587.0,149.71,55.33,25.71,ALPHA,THETA,True,False,False
587.0,149.73,55.53,25.69,GAMMA,THETA,True,False,False
586.0,150.71,55.67,25.83,GAMMA,THETA,True,False,False
586.0,150.91,55.27,25.69,GAMMA,THETA,True,False,False
586.0,150.88,55.27,25.86,GAMMA,THETA,True,False,False
586.0,150.87,55.47,25.89,GAMMA,THETA,True,False,False
585.0,150.33,55.62,25.75,GAMMA,ALPHA,True,False,False
585.0,150.38,55.71,25.75,GAMMA,THETA,True,False,False
585.0,150.33,55.71,25.75,GAMMA,THETA,True,False,False
585.0,150.61,55.51,25.85,GAMMA,THETA,True,False,False
584.0,150.33,55.7,25.83,GAMMA,THETA,False,True,True
584.0,150.42,55.7,25.89,GAMMA,THETA,False,True,True
584.0,150.72,55.92,25.84,GAMMA,ALPHA,False,True,True
584.0,150.63,55.72,25.93,GAMMA,ALPHA,False,True,True
583.0,151.99,55.56,26.14,GAMMA,GAMMA,False,True,True
583.0,151.81,55.51,26.14,GAMMA,THETA,False,True,True
583.0,151.73,55.55,26.09,ALPHA,THETA,False,True,True
583.0,151.69,55.43,26.09,ALPHA,THETA,False,True,True
582.0,150.2,55.62,25.97,ALPHA,GAMMA,False,True,True
582.0,150.17,55.62,26.02,ALPHA,THETA,False,True,True
582.0,150.5,56.02,25.95,ALPHA,THETA,False,True,True
581.0,150.16,55.43,26.04,ALPHA,THETA,False,True,True
581.0,149.96,55.63,26.02,ALPHA,THETA,False,True,True
580.0,150.79,55.62,26.06,ALPHA,THETA,False,True,True
580.0,150.19,55.97,26.12,ALPHA,THETA,False,True,True
580.0,150.31,55.76,26.14,ALPHA,THETA,False,True,True
580.0,150.49,55.77,26.14,ALPHA,THETA,False,True,True
579.0,150.5,55.23,26.13,ALPHA,THETA,False,True,True
579.0,150.78,55.29,26.13,ALPHA,THETA,False,True,True
579.0,150.5,55.02,26.14,GAMMA,THETA,False,True,True
579.0,151.1,55.07,26.14,THETA,THETA,False,True,True
579.0,150.8,55.07,26.14,THETA,GAMMA,False,True,True
578.0,150.7,55.16,26.14,THETA,GAMMA,False,True,True
578.0,150.76,55.35,26.14,THETA,ALPHA,False,True,True
578.0,150.16,55.16,26.14,THETA,ALPHA,False,True,True
527.0,144.86,60.71,25.4,ALPHA,THETA,False,True,False
527.0,145.34,60.42,25.2,ALPHA,THETA,False,True,False
527.0,145.04,60.51,25.3,ALPHA,THETA,False,True,False
526.0,145.06,59.8,25.55,GAMMA,THETA,False,True,False
526.0,144.62,59.78,25.55,GAMMA,THETA,False,True,False
526.0,144.46,59.78,25.54,GAMMA,THETA,False,True,False
526.0,144.76,59.98,25.55,GAMMA,THETA,False,True,False
525.0,144.63,60.24,25.47,ALPHA,THETA,True,False,False
525.0,144.64,60.3,25.44,ALPHA,THETA,True,False,False
525.0,144.84,60.25,25.48,ALPHA,THETA,True,False,False
525.0,144.54,60.25,25.45,ALPHA,THETA,True,False,False
524.0,144.79,60.07,25.33,ALPHA,THETA,True,False,False
524.0,144.77,60.12,25.42,ALPHA,THETA,True,False,False
524.0,144.26,60.27,25.33,ALPHA,THETA,True,False,False
524.0,144.56,60.27,25.43,ALPHA,THETA,True,False,False
524.0,143.71,60.54,25.46,ALPHA,THETA,True,False,False
523.0,144.11,60.53,25.46,ALPHA,THETA,True,False,False
523.0,144.19,60.51,25.41,ALPHA,THETA,True,False,False
523.0,144.31,60.33,25.46,ALPHA,THETA,True,False,False
523.0,144.01,60.53,25.36,ALPHA,THETA,True,False,False
522.0,143.89,61.42,25.47,ALPHA,THETA,True,False,False
522.0,143.61,61.49,25.47,ALPHA,THETA,True,False,False
522.0,143.89,61.28,25.27,ALPHA,THETA,True,False,False
522.0,143.48,61.32,25.27,ALPHA,THETA,True,False,False
522.0,143.59,61.29,25.37,ALPHA,THETA,True,False,False
521.0,144.83,61.09,25.73,ALPHA,GAMMA,True,False,False
521.0,144.42,60.87,25.62,ALPHA,GAMMA,True,False,False
521.0,144.23,60.84,25.79,ALPHA,THETA,True,False,False
521.0,144.53,61.04,25.72,ALPHA,THETA,True,False,False
520.0,144.74,62.04,25.72,ALPHA,THETA,True,False,False
520.0,144.61,61.64,25.72,ALPHA,THETA,True,False,False
520.0,144.88,61.85,25.61,ALPHA,THETA,True,False,False
520.0,144.73,61.84,25.62,ALPHA,THETA,True,False,False
520.0,143.72,62.01,25.32,ALPHA,THETA,True,False,False
519.0,144.1,61.98,25.49,ALPHA,THETA,True,False,False
519.0,144.32,61.84,25.52,THETA,THETA,True,False,False
519.0,144.02,61.81,25.42,THETA,THETA,True,False,False
519.0,146.63,61.36,25.42,THETA,THETA,False,True,True
518.0,146.32,61.34,25.84,ALPHA,THETA,False,True,True
518.0,146.63,61.25,25.74,ALPHA,THETA,False,True,True
478.0,146.02,62.68,24.34,ALPHA,THETA,False,True,False
478.0,146.13,62.54,24.34,ALPHA,THETA,False,True,False
477.0,144.49,62.23,24.31,ALPHA,THETA,True,False,True
477.0,144.66,62.39,24.27,ALPHA,THETA,True,False,True
477.0,144.62,62.36,24.29,ALPHA,THETA,True,False,True
477.0,145.02,62.2,24.27,ALPHA,THETA,True,False,True
477.0,144.72,62.36,24.25,GAMMA,THETA,True,False,True
476.0,145.48,62.81,24.1,GAMMA,THETA,True,False,True
476.0,145.5,62.81,24.22,GAMMA,THETA,True,False,True
476.0,145.41,62.86,24.15,GAMMA,THETA,True,False,True
476.0,144.9,62.81,24.1,ALPHA,THETA,True,False,True
476.0,145.2,62.66,24.2,ALPHA,THETA,True,False,True
475.0,146.15,62.77,24.22,ALPHA,THETA,True,False,True
